question,answer
Какой результат?,"1. Издание распоряжения о предоставлении дополнительной меры социальной поддержки и постановке гражданина на учет в АИС ""ЭСРН"".
2. Принятие решения об отказе в предоставлении дополнительной меры социальной поддержки."
Какой срок предоставления услуги?,"1. Принятие решения в течение 20 рабочих дней со дня предоставления заявления.
2. Информирование заявителя в течение 5 рабочих дней со дня принятия решения."
Кому предоставляется услуга?,"Заявителями являются граждане Российской Федерации, имеющие место жительства или место пребывания в Санкт-Петербурге, из числа:
- дети-сироты и дети, оставшиеся без попечения родителей ;
- лица из числа детей-сирот и детей, оставшихся без попечения родителей , обучающиеся по очной форме обучения в образовательных организациях."
Какой срок подачи заявления?,Заявление подается не позднее трех месяцев с даты окончания отдыха в организации отдыха детей и молодежи и их оздоровления
В каком случае предоставляется услуга?,"Денежная компенсация стоимости путевки предоставляется в случае самостоятельного приобретения опекунами (попечителями), приемными родителями детей-сирот путевок в организациях отдыха детей и их оздоровления, включенных в реестры организаций отдыха детей и их оздоровления, сформированные в субъектах РФ."
На какую сумму может рассчитывать заявитель? ,"Денежная компенсация стоимости путевки в организации отдыха детей и молодежи и их оздоровления в случае самостоятельного приобретения путевок опекунами (попечителями), приемными родителями детей-сирот и детей, оставшихся без попечения родителей, или лицами из числа детей-сирот и детей, оставшихся без попечения родителей, за счет средств бюджета Санкт-Петербурга:
с 01.04.2022 - по фактическим расходам, но не более чем 36 475 руб.; 
с 01.01.2023 - по фактическим расходам, но не более чем 39 473 руб."
"Какие документы, удостоверяющие личность предоставляет заявитель?","1. Свидетельство о рождении ребенка 2. Документ, удостоверяющий личность получателя услуги в возрасте старше 14 лет (паспорт гражданина РФ или временное удостоверение личности, выданное на период его замены)."
Какие документы необходимо предоставить при обращении представителя?,"1. документ, удостоверяющий законного представителя (представителя) (паспорт гражданина Российской Федерации или временное удостоверение личности, выданное на период его замены, паспорт иностранного гражданина, вид на жительство, удостоверение беженца). 2. Документ, подтверждающий полномочия законного представителя (представителя):
- документ, содержащий сведения об установлении опеки и попечительства в отношении ребенка - за исключением документов, выданных на территории Российской Федерации. 3.  случае представления документов представителем:
- Доверенность, оформленная в соответствии с действующим законодательством РФ, в том числе в простой письменной форме, подтверждающая наличие у представителя прав действовать от лица заявителя и определяющая условия и границы реализации права на получение государственной услуги."
Нужно ли предоставлять документы подтверждающие регистрацию?,Да. Документы (сведения) о регистрации ребенка по месту жительства или пребывания.
Какие документы подтверждают льготную категорию? ,"вступившее в законную силу решение суда о лишении (ограничении) родителей родительских прав;
вступившее в законную силу решение суда о признании родителей безвестно отсутствующими (умершими);
 вступившее в законную силу решение суда о признании родителей недееспособными (ограниченно дееспособными);
вступившее в законную силу решение суда об установлении факта отсутствия родительского попечения над ребенком;
письменное согласие матери и (или) отца ребенка на усыновление (удочерение);
вступивший в законную силу приговор суда о назначении наказания матери (отцу) ребенка в виде лишения свободы;
вступившее в законную силу постановление судьи об избрании меры пресечения матери (отцу) ребенка в виде заключения под стражу;
вступившее в законную силу постановление суда о принудительном лечении матери и (или) отца ребенка в медицинской организации, оказывающей психиатрическую помощь в стационарных условиях;
свидетельство о рождении, не содержащее сведений о матери и (или) отце ребенка, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
справка о рождении, подтверждающая, что сведения об отце ребенка внесены в запись акта о рождении на основании заявления матери ребенка, выданная компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык;
- свидетельство о смерти матери и (или) отца, выданное компетентными органами иностранного государства, и его нотариально удостоверенный перевод на русский язык"
Какой договор предоставить заявителю?,"Договор об оказании услуги по отдыху детей и молодежи и их оздоровлению либо копия договора, заверенная подписью сотрудника уполномоченного органа."
Какую  документ о прибытии предоставить заявителю?,"Документ, выданный организацией отдыха детей и их оздоровления, с отметкой о пребывании ребенка-сироты (копия путевки либо справка-подтверждение, в которых имеются сведения об организации отдыха детей и их оздоровления, включенной в реестр организаций отдыха детей и их оздоровления, сформированный в субъектах Российской Федерации)."
